,name,ev_centrality,betweenness,degree
168,Kelly,2.438684889984568e-20,0.0,2
169,Lincoln Chafee,0.02379242640185191,0.0,1
170,Mike Murphy,0.014385578034826945,0.0,1
171,Barbara Bush,0.014385578034826945,0.0,1
172,Bradshaw,0.014385578034826945,0.0,1
173,Murphy,0.014385578034826945,0.0,1
174,Heidi,0.013297302343966852,0.0,1
175,Tai,4.759993696743748e-18,0.0,3
176,Callahan,2.9418378908228964e-18,0.0,1
177,Frey,2.438684889984568e-20,0.0,2
178,Jim Jordan,0.02379242640185191,0.0,1
179,Jordan,0.02379242640185191,0.0,1
180,Jimmy Fallon,0.02379242640185191,0.0,1
181,Marc Mezvinsky,0.02379242640185191,0.0,1
182,Maren Sarkarat,0.02379242640185191,0.0,1
183,Tipper,0.02379242640185191,0.0,1
184,Hillary Rodham,0.02379242640185191,0.0,1
185,Lester Holt,0.02379242640185191,0.0,1
186,Scott,2.438684889984568e-20,0.0,2
187,Abdullah,2.438684889984568e-20,0.0,2
188,Webb,0.02379242640185191,0.0,1
189,Weiner,0.03551551019368086,0.0,3
190,Huma,0.03551551019368086,0.0,3
191,Bergdahl,7.208225193746427e-17,5.0758844728693974e-05,4
192,Dahl,3.6041125968732134e-17,0.0,1
193,Benenson,0.02379242640185191,0.0,1
194,Toomey,0.02379242640185191,0.0,1
195,Bach,2.9418378908228964e-18,0.0,1
196,Buckley,4.759993696743748e-18,0.0,3
197,Mullen,3.6041125968732134e-17,0.0,1
198,Flanagan,2.438684889984568e-20,0.0,2
199,Grassley,0.011723083791828955,0.0,2
